Frame,Upwind,Urban,Downwind
0,46.925987,45.91968,39.78913
1,46.759563,45.48537,39.52156
2,47.131332,45.298763,40.09626
3,46.95697,45.16583,40.751713
4,46.928608,45.77399,40.885048
5,46.83408,46.39527,41.209785
6,46.61661,46.70856,41.54654
7,46.346992,47.42097,42.148346
8,46.4079,47.519314,41.28243
9,46.222668,47.366623,41.091045
10,46.6876,47.09618,41.079556
11,46.822186,46.593063,41.452015
12,46.659626,46.35361,42.617233
13,46.93761,45.75953,44.25436
14,46.872406,45.615993,43.971573
15,46.756626,45.89861,45.757847
16,46.456512,46.307255,46.220947
17,46.15978,47.2328,45.86328
18,46.48818,47.70044,45.43955
19,46.45887,47.470207,45.280178
20,46.314823,47.39084,44.61931
21,46.806526,47.473022,45.281437
22,46.812263,47.103065,45.865726
23,47.038017,45.99445,46.761326
24,47.061226,44.802258,47.89734
25,47.59395,43.648098,48.522568
26,48.23483,43.27368,48.076675
27,48.382324,44.267597,47.842255
28,46.64037,46.184055,48.010696
29,42.71669,45.620384,46.3519
30,42.684086,46.027596,45.82102
31,44.283592,47.315643,46.278885
32,44.129456,47.887547,46.883205
33,43.17236,47.83067,46.91282
34,41.76861,47.59298,46.972324
35,40.966362,48.604443,47.220383
36,39.149048,47.995743,46.027786
37,38.668198,48.25483,45.994007
38,39.775444,47.978527,47.434467
39,39.697098,46.52381,47.289608
