Frame,Intensity
0,23.66827
1,23.966877
2,24.137938
3,24.029776
4,24.399935
5,24.513548
6,24.552647
7,24.622923
8,24.78564
9,24.982105
10,25.46435
11,25.466381
12,25.710188
13,26.059263
14,26.488058
15,27.00835
16,27.147116
17,27.274998
18,27.58503
19,27.6818
20,27.941687
21,27.72599
22,27.988018
23,28.29677
24,28.2041
25,28.24505
26,27.89451
27,28.016438
28,28.214344
29,28.005869
30,28.012278
31,28.322546
32,28.474672
33,28.61444
34,28.837614
35,29.02146
36,29.2267
37,29.305548
38,29.243683
39,29.049023
