Frame,Upwind,Urban,Downwind
0,48.36126,37.719513,43.78375
1,48.466476,40.64706,42.897984
2,49.395515,46.585857,42.61682
3,49.818104,48.01095,42.14439
4,49.969624,49.66864,42.056202
5,49.724575,51.15187,41.755898
6,49.617836,51.445835,40.813538
7,49.94542,50.888462,41.158028
8,50.17288,51.81964,40.92341
9,50.108837,52.161808,40.731182
10,49.94331,51.294846,39.877743
11,49.36524,52.08657,39.381344
12,49.177357,51.523586,39.979084
13,48.882324,52.252735,41.62469
14,47.9549,52.46715,42.516487
15,47.397957,52.213287,42.57235
16,47.04119,51.733543,42.020397
17,46.52584,51.917244,42.348614
18,46.157246,51.314827,43.171654
19,45.87814,51.072372,44.736355
20,45.574005,51.13803,45.930573
21,44.75046,50.841045,47.060616
22,44.224743,50.0669,48.533756
23,42.85352,49.538643,48.563744
24,41.141582,48.93788,48.48264
25,38.821014,47.232887,47.976654
26,37.697002,46.077957,47.322224
27,37.968624,46.520996,48.06706
28,37.364586,46.091534,47.93341
29,37.92551,46.53447,48.2301
30,38.33093,45.715633,48.138016
31,39.152927,45.377735,48.69899
32,39.12176,44.227962,48.087246
33,38.965965,43.208748,47.966385
34,38.51808,42.76235,47.537865
35,38.815445,44.223545,47.94088
36,37.88595,44.752274,47.977745
37,37.14857,45.0008,48.07681
38,36.79054,44.612137,48.235275
39,36.371883,44.288357,47.934025
