Frame,Intensity
0,28.73861
1,28.75998
2,28.852886
3,28.809942
4,28.085022
5,27.798971
6,27.203499
7,27.113176
8,27.306667
9,27.370089
10,26.868795
11,27.508533
12,27.486887
13,27.60777
14,27.541878
15,27.751547
16,27.94456
17,28.020737
18,27.747677
19,27.614712
20,27.512577
21,27.660587
22,27.739151
23,28.100986
24,28.459978
25,28.485474
26,28.532904
27,28.677895
28,26.831724
29,27.504591
30,27.698114
31,27.778223
32,27.941256
33,28.12128
34,28.265453
35,28.263304
36,28.027025
37,28.025396
38,28.046618
39,28.825138
