Frame,Intensity
0,24.736935
1,24.422018
2,24.331762
3,24.339624
4,24.602098
5,24.751257
6,24.519304
7,24.533358
8,24.768461
9,24.826729
10,24.846138
11,24.92086
12,24.715536
13,24.773914
14,24.748133
15,24.773249
16,24.822145
17,24.911894
18,24.863855
19,24.808416
20,24.703577
21,24.749735
22,24.782917
23,25.008347
24,25.013428
25,25.39001
26,26.00062
27,26.644335
28,26.875326
29,27.568565
30,27.74924
31,27.926586
32,27.977716
33,28.082556
34,28.403437
35,28.70265
36,28.706566
37,28.904633
38,28.754725
39,28.788702
