Frame,Intensity
0,29.609247
1,29.803562
2,29.741314
3,29.718231
4,30.022812
5,30.16404
6,30.33573
7,30.406797
8,30.229134
9,30.144304
10,30.348816
11,30.275673
12,30.286396
13,29.558802
14,29.309122
15,29.094852
16,29.282787
17,29.18833
18,28.721601
19,28.478569
20,28.363049
21,28.066317
22,27.518204
23,27.163643
24,26.865574
25,26.548647
26,26.23853
27,25.932684
28,25.693722
29,25.343355
30,25.08878
31,24.954962
32,24.630432
33,24.39511
34,24.505325
35,24.653486
36,24.880457
37,25.1582
38,25.764168
39,26.181248
