Frame,Upwind,Urban,Downwind
0,54.113407,38.522152,23.410908
1,53.90007,44.54543,23.37725
2,53.86182,47.314022,23.160126
3,53.225414,47.413845,23.169458
4,54.136837,47.923344,23.233702
5,53.31258,48.07759,24.090265
6,52.839924,48.055424,24.672195
7,52.47967,48.2814,26.154947
8,52.900867,48.10459,28.88227
9,52.550095,47.41947,31.564491
10,51.91404,47.018887,35.21508
11,51.872845,46.288994,37.45547
12,51.949154,45.708504,39.558105
13,51.914463,45.2089,41.025986
14,51.3463,44.182755,41.47351
15,50.945076,44.48175,42.563423
16,50.22862,43.549763,42.27213
17,49.485325,43.81504,42.018173
18,49.6056,44.480507,42.085636
19,49.155846,43.903442,41.789642
20,48.112198,42.95828,41.127018
21,48.845474,43.31344,41.500954
22,48.82516,44.017746,41.51473
23,49.101494,44.836777,42.04768
24,49.000576,44.63548,41.497616
25,48.66245,44.51533,42.020393
26,48.214985,43.957336,41.075794
27,48.61613,43.88952,41.506916
28,48.670387,44.81351,41.922237
29,47.1908,43.806396,40.802185
30,48.066086,45.605087,41.21911
31,48.20099,47.07414,41.527954
32,47.08254,48.420708,41.305798
33,46.674797,49.32225,40.836
34,46.139454,49.87195,41.507984
35,45.485806,49.933414,41.47996
36,45.05115,49.787014,41.47686
37,45.51743,49.341232,41.527153
38,43.34694,49.488167,41.49884
39,40.245068,49.670837,41.66434
