Frame,Upwind,Urban,Downwind
0,43.71118,44.750366,48.491596
1,45.466125,42.688473,48.712772
2,48.388355,43.190712,48.346592
3,47.2309,45.403877,47.34298
4,48.58217,46.481277,47.36878
5,51.073063,45.456753,46.823223
6,51.757076,45.384945,46.10057
7,51.922493,42.48862,45.341198
8,52.059566,42.042538,44.465946
9,52.257683,39.442074,44.549038
10,51.769707,38.64526,44.96468
11,52.022034,40.30866,45.0696
12,52.976185,43.095917,44.201756
13,53.096245,46.613388,44.58007
14,53.18462,48.905857,44.592327
15,52.190437,49.613037,44.514095
16,52.81506,50.10271,44.16728
17,53.159966,50.641888,43.22994
18,53.019432,50.682976,43.350636
19,51.747955,50.904926,43.39458
20,50.07178,51.250744,43.39363
21,47.939106,51.15252,44.123337
22,47.222145,49.56044,44.721943
23,47.071613,48.74685,44.337124
24,46.793175,48.610836,44.317646
25,46.826622,48.337975,45.383827
26,46.9936,49.287556,46.246346
27,47.125225,49.717117,47.122627
28,47.124397,50.16534,46.388203
29,47.329784,49.563705,46.685444
30,47.29972,49.21075,47.452034
31,46.357246,49.66243,47.060135
32,45.701843,51.21331,47.13668
33,45.818233,50.267563,46.644367
34,45.667015,49.651253,46.846035
35,44.855488,48.86111,47.55784
36,42.333202,48.557995,47.749546
37,41.632977,48.28599,47.7556
38,40.145767,47.527435,47.919994
39,38.889217,45.757904,48.108845
