Frame,Upwind,Urban,Downwind
0,48.171047,47.99745,48.12113
1,47.661568,47.627453,48.319088
2,47.472157,47.654682,48.254948
3,46.812584,47.34173,47.84503
4,44.69049,45.0903,46.082764
5,44.654713,44.48084,45.258972
6,44.31194,43.05648,44.162094
7,44.265644,41.96623,44.679577
8,45.46398,43.765938,45.15437
9,45.459976,45.942776,45.264328
10,44.49055,44.11035,44.274033
11,45.71925,45.87253,45.405983
12,44.923183,45.267723,45.47246
13,45.158,44.599678,45.187054
14,44.287914,47.40947,45.447315
15,42.70558,50.085266,45.836582
16,41.08916,51.985363,46.038876
17,38.805683,51.869823,46.05444
18,36.230053,52.105225,45.588245
19,34.60452,51.846497,44.94036
20,34.051285,51.20822,44.631382
21,33.192448,51.43484,44.9039
22,32.384697,52.02993,44.79369
23,33.48075,50.85871,45.40207
24,35.974586,49.475388,46.091564
25,37.1352,48.189457,46.346523
26,37.05918,46.625984,46.51941
27,36.44013,43.42432,46.512867
28,35.783356,41.89279,43.981556
29,35.10476,43.033333,44.78705
30,35.62864,44.837593,44.733265
31,35.348526,46.577484,44.727993
32,34.249043,46.273144,45.11502
33,35.321404,44.424057,45.10971
34,36.918568,42.997116,44.863174
35,37.453,42.050865,44.86332
36,37.544888,41.24716,44.50381
37,36.231808,40.743305,44.411648
38,36.306507,40.393734,44.32295
39,38.079597,41.40184,45.216225
