Frame,Intensity
0,27.118732
1,26.932957
2,26.952484
3,27.205212
4,27.489538
5,27.6304
6,27.824219
7,27.973799
8,27.925999
9,27.894962
10,27.884285
11,27.837353
12,27.880907
13,28.146032
14,28.270967
15,28.577501
16,28.869316
17,28.959255
18,28.863104
19,29.025982
20,28.927422
21,29.027405
22,29.076267
23,29.19145
24,29.199682
25,29.473495
26,29.460958
27,29.41344
28,29.139656
29,28.594381
30,28.991138
31,29.34114
32,29.596254
33,29.246935
34,28.934437
35,28.59816
36,28.174833
37,27.688896
38,27.71993
39,27.743895
